content,score
kok gabisa login ya ini,1
ok,5
fitur 1 jam ilangin aja aku udh member jdi BESTie tapi slalu 1 jam tuh Dateng bisa 2 jam lama bgt mending yg jls aja sesuai jam nya biar bisa pesen sblm 5 jam yg lalu ga cocok buat yg urgent kyk beli softex gila udh banjir baru Dateng 🤗,1
"TOLONG DIPERHATIKAN KARYAWANNYA , KASIH TAHU CARA BAGAIMANA MERESPON KELUHAN PELANGGAN . BUKAN BARU SEKALI DUA KALI TAPI BERKALI KALI . TOLONG YAH KARYAWANNYA DI PERHATIKAN . TERIMA KASIH LEBIH TEPATNYA DI ALFAMART RUMOONG ATAS , TARERAN MINAHASA SELETAN .",1
"aplikasi penipu,,,sudah bayar untuk topup e wallet,sampe sekarang saldoku blum bertambah sama sekali,Dan parahnya lagi saya ajukan pengembalian dana malah saya di persulit,Bangka emang aplikasi ini",1
mungkin bisa diberikan menu promo mingguan atau katalog yang baru promo biar bisa cek secara cepat apa saja yang sedang promo,3
"ganti hp pas mau masuk lagi susah lagi. pdhl nomer bener & ada kode otp juga, bahkan dikirim dari email atau watsap tp tetep aja tidak bisa log in.",2
Parah. Nunggu verifikasi terlalu lama,1
baru pertama kali nyoba tapi gak dikirim brange smpek 2 jam gak smpek Pakai siatem cod,2
Aplikasi rusak,1
"baru aja belanja dirugikan walaupun ga seberapa,masa pesen tolak angin flu 5 yg datang satu doang chat ke alfagift nya ga dpt respon di telpon ga aktif, anterin sisa nyaaa",1
tak ada no verifikasi diwa,1
"alfamart bantarbolang- Pemalang Klo semisal pengiriman mau telat begini statusnya tinggal sedang disiapkan aja jangan diganti dlam proses pengiriman selalu seperti ini setiap pesan nggak pernah ada perubahan ,padahal bolak balik di tegur kurirnya .",1
keren,5
"saya kecewa,tiba"" akun dan member saya di tutup,entah kendalanya apa,tidak ada pemberitahuan jg,,,buat yg lain cukup jd perhatian saja.",1
lemot,1
"saya download ini sengaja karna butuh urgent bgt, saya chat tp pegawainya bilang lg ga ada yg backup karna lg banyak antrian,... ya terus gimana???? saya udh tunggu lebih dari setengah jam tp ga ada respon lg kecewa bgt lah pertama kali download niat biar cepet karna urgent malah ga bisa cepet",1
"aplikasi belanja andalan terpercaya cepat banyak diskon & grts ongkir pdhl aku udh pindah rumahnya lumayan jauh dari kota, tetep diantar sepenuh hati, lebih di upgrade lagi kualitasnya terimakasih afagift by Alfamart",5
"aplikasinya lemot bgt, gambarnya ga muncul,udah 1 bulan kaya gini terus, tolong diperbaiki ya, karna sebelumnya gaada masalah apapun",1
memuaskan juga alfagif ini.,5
"Akhir-akhir ini pengantarannya sangat lama, pesan dari pagi tapi sampai sore statusnya masih ""dalam proses"" belum pengantaran sama sekali. Di chat pun tidak di respon, padahal operatornya online, kalau mau minta omgkir sebaiknya jujur saja seperti toko sebelah",1
2 jam pesan minuman gak juga di kirim. padahal status dalam pengiriman. alfamart 2D58 - pantai gading bengkong kota batam,1
"tolong yaa upgrade poin dan vouchernya ditingkatkan lagi, soalnya saya pernah pas waktu mau transaksi pake voucher ternyata vouchernya udh redeem tpi di keterangan alfagift masih tersedia, tolong ditingkatkan lagi keaktifan dan kecepatan upgrade nya",3
"pengiriman lama,sering kurang barang,pokoknyo 0 dehhh,trutama buat alfagift Gelumbang!!!",1
"aplikasi nya lemot parah+engga bisa di buka harus nunggu setengah jam baru bisa ke buka, tolong perbaiki!!!!!",1
"awalnya seneng banget sama aplikasi ini membantu, tapi sorry harus kasih ulasan jujur terbaru. sekarang aplikasi jadi berat gambar tidak ada, log ke keranjang butuh waktu dan ga ada yg bisa di lihat dari interfacenya berasa batu. plis sebelum gue uninstall tolong perbaiki sufah banyak komen sejenis !!!!",2
Masya Allah mempermudah sekali,5
Entah mana yang salah saya gak tau tapi kemarin saya belanja harga yg di alfagift tidak sesuai dengan yang ada di toko,3
alfagift tidak bisa buka,2
semuanya sudah baik namun ada beberapa hal yang lumayan membuat bingung seperti maps nya tidak sesuai,3
Ga bisa belanja rokok buat mbah kong,1
Saya bisa belanja Di alfagift,5
sulit sekali login ke akun padahal udah sering di pake nggk jelas lama lama,3
"kurang update di alfagift ada, di toko tak ada",1
"g bs dibuka di hp ku, entah kenapa",1
PENGIRIMAN MAX 1 JAM TAPI NYAMPE BISA 2-3 JAM YANG BENER AJA? HARUSNYA BILANG KALAU LAGI SIBUK INI BIKIN ORANG NUNGGU LAMA BANGET KEBURU LAPER HAUSNYA HILANG,1
kuhapus karena belaja alasannya selalu kendala sinyal ditukar di Alfamart salah Mulu pin nya padahal kan buat sendiri ingat betul pin nya,4
"pembayaran mudah Sangat membantu bagi saya yang tinggal di pelosok. kurirnya ramah gercep. terimakasih alfagift raja desa, bandung",5
untuk keseluruhan aku kasih bintang 5. yang masih kurang bagian suka ke log out sendiri kalau lama sudah ga di buka. itu ga nyaman banget sii,5
keren banget sih aplikasi Alfagift banyak promonya bisa delivery pembayaran mudah dan paling seneng bisa kirim belanjaan ke orang terdekat meski beda pulau 😍😍😍😍,5
"saya pesan pertama kali kurir gak ramah malah marah"" , yang kedua di cancel dari tempat nya kek gak ada niat jualan, makin KECEWA belanja di alfagif + MUAK 😌",1
bagus sekali❤❤❤,5
"makasih udah memberikan voucher diskon(meskipun ga nentu), makasih juga karena telah mengembalikan A-poin buat nge-diskon barang seperti dulu(pertahankan). GREAT JOB Alfamart.👍 ⭐⭐⭐⭐⭐",5
tolong tingkatkan lagi terlalu banyak BUG,3
saya beli teh botol yang 1 litter diketerangan nya beli 2 gratis 1 pas saya udah pesen dateng cuma 2 dan pas saya komplain gaada respon dan ga di tanggapi sama sekali,1
Aplikasi Jelek Banget Saya refund katanya 3 hari tapi gak dikembalikan refund saya aplikasi ini tidak bertanggung jawab sama customer tolong jangan dwonload aplikasi ini,1
ga bisa daftar akun gatau kenapa,2
Pengiriman lama sekali padahal sudah saya pilih Pengiriman dalam waktu 1 Jam ternyata sampainya bisa 4 jam lebih,1
kenapa selalu aplikasi dalam masalah dan tidak bisa dibuka,5
the best,5
maaf mau bertanya kalo belanja ke toko langsung tapi struk nya masuk aplikasi itu cara lihatnya di menu mana ya?,5
"aneh ni app, instal di hp saya akun ditutup setelah orderan pertama, lanjut di hp istri juga demikian, selesai order pertama akun di tutup juga di hp istri. anehh anehh kalau malas ngantar gak usah bikin aplikasi ginian pake cara baned akun pelanggan",1
good,5
"nggak tau di semua daerah gini atau nggak, tapi setiap pesan lewat alfagift pengirimannya lama. kita bisa pilih sih mau dikirim jam berapa. tapi kalau milih pengiriman maksimal 1 jam setelah co bener² dikirim swmaksimal mungkin bisa sampek satu jam lebihh. kesel sih apalagi kalau udah emang butuh dan ada halangan buat keluar",1
pilihan tepat buat berbelanja kebutuhan anak kontrakan...,5
"Kecewa belanja di apk ini.Pesan di tgl 29 lalu diinfokan tgl 1 paling lambat pesanan nya tiba. Di chat di apk,mesin yg menjawab. Via DM IG sm jg,lalu kirim pesan melalui email pesannya bolak balik,sdh dilengkapi data yg diminta msh lg dgn pesan yg sama. Sy tdk akan menggunakan apk u berbelanja barang yg persediaan gudang,kapok sy Hari ini tgl 2 barang yg dipesan blm jg diantarkan.",1
udh 4 hari nih gamau kebuka apknyaaaa,1
"Aplikasi ini tidak dapat digunakan salah satu nya adalah alamat saya. Karena alamat yang saya isi sebelum nya tidak tercover padahal alamat itu sudah sesuai yang ada di indentitas/KTP, Saya benar-benar kecewa. Hapus saja aplikasi ini dari play store.",1
"minus amatt, terberulang kali mencoba.. tetap ga ada kode Verifikasi 😂😂 parah parah!! mohon diperbaiki lagi🙏",1
"rumah di bandung, outlet alfa terdekat di aplikasi di semarang wkwkwkwkwk",2
mohon maaf pelayanan lewat GrabMart tolong ditutup aplikasi nya sesuai tokonya tutup yang jam tutup : 22:00wib jangan dihidupkan kasih buat untuk para ojol yang ambil jaraknya lumayan terjauh.,1
"mentok di syarat dan ketentuan hukum terus., ga bisa daftar., capekkkkkk....",1
"kalo ada kaya cushion, bedak mohon ada penjelasan shade berapa ya. biar ga salah beli entah ngerasa lebih putih atau bagaimana.",4
"saat daftar alfagift,verifikasi daritadi gamuncul2 gambarnya padahal wifi dh lancar",2
ini lagi knp ya apknya tiba-tiba logout mau login ga bisa kirim kode otp ga ke kirim2 padahal lagi butuh bgt apk ini pliss benahin lagiiiiii,2
"Tiba tiba saja akunku ditutup padahal aku sudah belanja puluhan juta dialfamart selama setahun terakhir Aku beli barang apapun entah itu harga normal dan promo, transaksi yang normal sih bukan mencurigakan. Hai Alfa yang terhormat, kalian sudah aku untungkan dengan pembelanjaanku. Hebatnya member level crazyrich ditutup gitu aja Hati hati untuk kalian yang mau belanja banyak di aplikasi ini!! Takutnya nanti apes kaya aku",1
